"device_state","response_code","set_number","status_timestamp","temperature_celsius","temperature_raw","test_state","trial_in_set","trial_instance_id","trigger_timestamp"
"","","0","","","","","0","namdar_01_block0_000","4340.921"
"2","0","0","4379.093","47.01","13000000be9b196a0002010000da8d00005d1200000000","1","0","namdar_01_block0_000",""
"2","0","0","4400.937","47.0","13000000d49b196a000201000037e300005c1200000000","1","0","namdar_01_block0_000",""
"","","0","","","","","1","namdar_01_block0_001","4401.015"
"2","0","0","4436.921","43.1","13000000f89b196a0002010000bc6f0100d61000000000","1","1","namdar_01_block0_001",""
"2","0","0","4461.015","43.1","13000000109c196a0002010000e0cd0100d61000000000","1","1","namdar_01_block0_001",""
"","","0","","","","","2","namdar_01_block0_002","4461.109"
"2","0","0","4500.531","45.1","13000000379c196a00020100004c6802009e1100000000","1","2","namdar_01_block0_002",""
"2","0","0","4521.109","45.09","130000004c9c196a0002010000d2b802009d1100000000","1","2","namdar_01_block0_002",""
"","","0","","","","","3","namdar_01_block0_003","4521.234"
"2","0","0","4555.984","45.1","130000006f9c196a0002010000c44003009e1100000000","1","3","namdar_01_block0_003",""
"2","0","0","4581.25","45.09","13000000889c196a0002010000c0a303009d1100000000","1","3","namdar_01_block0_003",""
"","","0","","","","","4","namdar_01_block0_004","4581.39"
"2","0","0","4624.843","47.01","13000000b49c196a00020100009a4d04005d1200000000","1","4","namdar_01_block0_004",""
"2","0","0","4641.406","47.01","13000000c49c196a0002010000848e04005d1200000000","1","4","namdar_01_block0_004",""
"","","0","","","","","5","namdar_01_block0_005","4641.5"
"2","0","0","4672.078","40.79","13000000e39c196a00020100003c060500ef0f00000000","1","5","namdar_01_block0_005",""
"2","0","0","4701.5","40.8","13000000009d196a00020100002d790500f00f00000000","1","5","namdar_01_block0_005",""
"","","1","","","","","0","namdar_01_block1_000","4773.687"
