trial_id,text
1,"The North Wind and the Sun had a quarrel about which of them was the stronger. While they were disputing with much heat and bluster, a Traveler passed along the road wrapped in a cloak. Let us agree, said the Sun, that he is the stronger who can strip that Traveler of his cloak."
2,"Very well, growled the North Wind, and at once sent a cold, howling blast against the Traveler. With the first gust of wind the ends of the cloak whipped about the Traveler's body. But he immediately wrapped it closely around him, and the harder the Wind blew, the tighter he held it to him."
3,"The North Wind tore angrily at the cloak, but all his efforts were in vain. Then the Sun began to shine. At first his beams were gentle, and in the pleasant warmth after the bitter cold of the North Wind, the Traveler unfastened his cloak and let it hang loosely from his shoulders."
4,"The Sun's rays grew warmer and warmer. The man took off his cap and mopped his brow. At last he became so heated that he pulled off his cloak, and, to escape the blazing sunshine, threw himself down in the welcome shade of a tree by the roadside."
5,"A Crow, half-dead with thirst, came upon a pitcher which had once been full of water. But when the Crow put his beak into the mouth of the pitcher he found that only very little water was left in it, and that he could not reach far enough down to get at it."
6,"He tried, and he tried, but at last had to give up in despair. Then a thought came to him, and he took up a pebble and dropped it into the pitcher. Then he took another pebble and dropped that into the pitcher. Then he took another and another and another."
7,"With each pebble the water rose a little higher until at last it was near enough so he could drink. In this way the Crow quenched his thirst and showed that little by little and with patience, a difficult thing may be done."
8,"A Fox one day spied a beautiful bunch of ripe grapes hanging from a vine trained along the branches of a tree. The grapes seemed ready to burst with juice, and the Fox's mouth watered as he gazed longingly at them."
9,"He jumped high to catch the grapes, but failed. Again and again he tried after the tempting morsel, but at last had to give it up. As he walked away with an air of dignity, he remarked that the grapes were sour and not worth eating after all."
10,"A Lion lay asleep in the forest, his great head resting on his paws. A timid little Mouse came by and, not seeing the danger, ran lightly over the Lion's nose. The Lion sprang up, seized the tiny creature, and was about to crush him with one blow."
11,"The Mouse begged for mercy and promised that someday he might repay the kindness. The Lion was amused that such a small thing could ever help him, but he laughed and let the Mouse go. Not long afterward the Lion was caught in a hunter's net and could not free himself."
12,"Hearing the Lion's angry roaring, the Mouse ran to the spot and gnawed through the ropes of the net with his sharp little teeth. Soon the Lion was free. Then the Mouse said that even a small friend may prove a great helper when the time of need arrives."
